Timestamp PowerL,PowerR, Heading,Distance,DriveSpeed,TurnSpeed,FrontRange,StageNumber,StageDistance,TargetScore,TargetX,TargetY,
1516109794415,-0.07552083333333333,0.09114583333333333,6.027925000000001,-0.990392,0.4917622211148435,-22.337500000000002,0.0,0,-0.990392,0.0,-320.0,-200.0,
1516109794436,-0.06770833333333333,0.08333333333333333,5.5729125,-0.95468075,2.892638549276309,-21.925,0.0,0,-0.95468075,0.0,-320.0,-200.0,
1516109794454,-0.06770833333333333,0.08333333333333333,5.18459375,-0.8999235,2.9095630919645585,-21.200000000000003,0.0,0,-0.8999235,0.0,-320.0,-200.0,
1516109794475,-0.044270833333333336,0.059895833333333336,4.75315625,-0.8427855,2.614987505835187,-19.900000000000002,0.0,0,-0.8427855,0.0,-320.0,-200.0,
1516109794495,-0.044270833333333336,0.059895833333333336,4.36215625,-0.7927897500000001,2.3418748770411177,-19.3125,0.0,0,-0.7927897500000001,0.0,-320.0,-200.0,
1516109794514,0.005208333333333334,0.010416666666666666,3.9951375000000002,-0.74993625,2.28701113125758,-18.575,0.0,0,-0.74993625,0.0,-320.0,-200.0,
1516109794559,0.005208333333333334,0.010416666666666666,3.2510687500000004,-0.657087,2.092185337346486,-14.975000000000001,0.0,0,-0.657087,0.0,-320.0,-200.0,
1516109794567,0.0078125,0.0078125,3.1280750000000004,-0.64042175,2.1379581298759613,-14.162500000000001,0.0,0,-0.64042175,0.0,-320.0,-200.0,
1516109794575,0.0078125,0.0078125,3.0177250000000004,-0.6237565,2.0488382099827884,-13.512500000000001,0.0,0,-0.6237565,0.0,-320.0,-200.0,
1516109794594,0.039308562874794006,-0.023683562874794006,2.782375,-0.60709125,0.7393777053126032,-11.625,0.0,0,-0.60709125,0.0,-320.0,-200.0,
1516109794615,0.07080462574958801,-0.05517962574958801,2.56053125,-0.5809030000000001,0.964085950747893,-9.662500000000001,0.0,0,-0.5809030000000001,0.0,-320.0,-200.0,
1516109794634,0.09705134232838948,-0.08142634232838948,2.3952750000000003,-0.57138,0.5888063115980561,-7.525,0.0,0,-0.5689992500000001,0.0,-320.0,-200.0,
1516109794658,0.11279937624931335,-0.09717437624931335,2.248225,-0.5570955,0.5684660430632578,-5.025,0.0,0,-0.5570955,0.0,-320.0,-200.0,
1516109794675,0.1311720808347066,-0.11554708083470662,2.17478125,-0.55471475,0.48207591822477813,-3.7375000000000003,0.0,0,-0.55471475,0.0,-320.0,-200.0,
1516109794695,0.16529281934102377,-0.14966781934102377,2.11330625,-0.55471475,0.48207591822477813,-2.375,0.0,0,-0.55471475,0.0,-320.0,-200.0,
1516109794715,0.1994135578473409,-0.1837885578473409,2.079125,-0.55947625,0.07389749332066918,-1.3125,0.0,0,-0.55947625,0.0,-320.0,-200.0,
1516109794736,0.20728756984074911,-0.19166256984074911,2.0676,-0.57852225,-1.3466923098679189,0.275,0.0,0,-0.57852225,0.0,-320.0,-200.0,
1516109794754,0.23353427648544312,-0.21790927648544312,2.0888250000000004,-0.58804525,-0.5682370807066118,1.875,0.0,0,-0.58804525,0.0,-320.0,-200.0,
1516109794774,0.24928232034047446,-0.23365732034047446,2.1466875,-0.6142335,-2.1376221955353034,4.2125,0.0,0,-0.61661425,0.0,-320.0,-200.0,
1516109794795,0.26765501499176025,-0.25203001499176025,2.2572125,-0.67851375,-3.483557083805831,6.3125,0.0,0,-0.67851375,0.0,-320.0,-200.0,
1516109794815,0.27552902698516846,-0.25990402698516846,2.4221875,-0.75945925,-4.915350469701663,9.3625,0.0,0,-0.75945925,0.0,-320.0,-200.0,
1516109794835,0.27552902698516846,-0.25990402698516846,2.645175,-0.82612025,-1.5606997992379237,12.9875,0.0,0,-0.82612025,0.0,-320.0,-200.0,
1516109794857,0.28340305884679157,-0.26777805884679157,2.973275,-0.8808775,-2.091473123593038,17.400000000000002,0.0,0,-0.8808775,0.0,-320.0,-200.0,
1516109794882,0.28340305884679157,-0.26777805884679157,3.4738812500000003,-0.9665845000000001,-3.6411256404374095,22.125,0.0,0,-0.9665845000000001,0.0,-320.0,-200.0,
1516109794895,0.28340305884679157,-0.26777805884679157,3.7918250000000002,-1.01658025,-3.7444951242529103,24.4875,0.0,0,-1.018961,0.0,-320.0,-200.0,
1516109794915,0.25978100299835205,-0.24415600299835205,4.3052,-1.10228725,-4.794703320494424,28.262500000000003,0.0,0,-1.10228725,0.0,-320.0,-200.0,
1516109794935,0.17579150199890137,-0.16016650199890137,4.928393750000001,-1.1951365,-4.227653104259617,31.9875,0.0,0,-1.19751725,0.0,-320.0,-200.0,
1516109794956,0.11279937624931335,-0.09717437624931335,5.611756250000001,-1.2808435,-2.136974620200615,33.525,0.0,0,-1.28322425,0.0,-320.0,-200.0,
